Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-07-24 16:00:00,1413621.1679595006,1399139.5325506323,1404821.0738038016,1393212.9943727504,1395471.2209522307,1396293.3113695222,1432171.665189331,1399346.8542444948
2019-07-24 17:00:00,1388884.736879162,1373444.6114850221,1376680.767873158,1362673.7921392962,1372848.6277485401,1374900.336539398,1400878.7895425311,1367990.4910245456
2019-07-24 18:00:00,1340733.549088521,1335335.6949538882,1335397.8023360337,1317246.907887027,1336718.109362465,1338147.923090593,1357464.9987948162,1321074.3514597043
2019-07-24 19:00:00,1305109.5609633157,1296611.8663581258,1294849.2563969546,1272653.324611434,1298113.4677936435,1304903.9552945762,1322592.6384177299,1284480.1309616738
2019-07-24 20:00:00,1273321.2454363026,1265128.4153824376,1263755.2322488734,1239200.9557993049,1264942.9684143101,1274690.6229133669,1292086.6665981212,1255107.1757246335
2019-07-24 21:00:00,1239197.0949696093,1239481.5302814357,1239738.3506480185,1214888.6452377962,1236707.5813154485,1245423.078912938,1264551.668441182,1228232.4129934106
2019-07-24 22:00:00,1219203.3425293548,1213575.579993437,1214936.3706359568,1191015.8660244015,1208409.4149940254,1223245.222929323,1248333.5250486026,1213137.4665785253
2019-07-24 23:00:00,1199265.0109588106,1184862.4645866714,1185925.3504582543,1162930.6651458254,1178151.0164608788,1197443.294469193,1226783.6859715309,1191542.555481729
2019-07-25 00:00:00,1138918.8188340426,1154528.8985835307,1163272.538162393,1136148.0439013536,1150625.9528907728,1155267.9804725572,1171950.0369680387,1141704.311519535
2019-07-25 01:00:00,1119026.8831598605,1132957.8924340939,1141036.1136983703,1113281.861785677,1129038.1502318026,1134273.3823677427,1151518.0960607855,1119392.1865947896
2019-07-25 02:00:00,1111187.2712342232,1117853.4437086657,1126022.4408704806,1097154.247108916,1114338.7336679099,1124484.6687056087,1143772.3342030677,1110615.594977921
